visits,interlibrary_relation_code,fscs_definition_code,overdue_policy,beac_code,locale_code,population_lsa,county_population,print_volumes,ebook_volumes,num_lib_branches,num_bookmobiles
21814,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,7894,253507,35359,59306,0,0
7123,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,4111,253507,8065,58889,0,0
1687,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,1035,253507,8617,0,0,0
56803,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,6916,253507,34365,58856,0,0
38528,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,15736,253507,40966,59306,0,0
4980,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,4294,662895,14885,100284,0,0
22757,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,25615,662895,30483,100284,0,0
1460,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,9832,662895,13825,100284,0,0
45500,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,9789,662895,22163,100284,0,0
43231,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,16444,662895,45679,100284,0,0
13600,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,1915,662895,15412,100284,0,0
266318,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,26054,662895,81142,967869,0,0
12209,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,16531,662895,21038,100284,0,0
15797,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,13518,662895,39535,100284,0,0
19344,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,12271,662895,26297,100284,0,0
11617,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,6005,662895,22754,100284,0,0
123918,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,26388,662895,66011,4620,0,0
327941,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,38801,662895,69734,82403,0,0
