Epoch 268/5000, Train Loss: 10110410752.0, Val Loss: 10490190848.0
Epoch 269/5000, Train Loss: 10105395200.0, Val Loss: 10502694912.0
Epoch 270/5000, Train Loss: 10099812352.0, Val Loss: 10473453568.0
Epoch 271/5000, Train Loss: 10092481536.0, Val Loss: 10452384768.0
Epoch 272/5000, Train Loss: 10087895040.0, Val Loss: 10442769408.0
Epoch 273/5000, Train Loss: 10083218432.0, Val Loss: 10428952576.0
Epoch 274/5000, Train Loss: 10075846656.0, Val Loss: 10456777728.0
Epoch 275/5000, Train Loss: 10071151616.0, Val Loss: 10446033920.0
Epoch 276/5000, Train Loss: 10064750592.0, Val Loss: 10447598592.0
Epoch 277/5000, Train Loss: 10059405312.0, Val Loss: 10481405952.0
Epoch 278/5000, Train Loss: 10053668864.0, Val Loss: 10464952320.0
Epoch 279/5000, Train Loss: 10045476864.0, Val Loss: 10489648128.0
Epoch 280/5000, Train Loss: 10040044544.0, Val Loss: 10442196992.0
Epoch 281/5000, Train Loss: 10031758336.0, Val Loss: 10438513664.0
Epoch 282/5000, Train Loss: 10025078784.0, Val Loss: 10436705280.0
Epoch 283/5000, Train Loss: 10019238912.0, Val Loss: 10424843264.0
Epoch 284/5000, Train Loss: 10014124032.0, Val Loss: 10419530752.0
Epoch 285/5000, Train Loss: 10007357440.0, Val Loss: 10413099008.0
Epoch 286/5000, Train Loss: 10003222528.0, Val Loss: 10401372160.0
Epoch 287/5000, Train Loss: 9996983296.0, Val Loss: 10428618752.0
Epoch 288/5000, Train Loss: 9991244800.0, Val Loss: 10424255488.0
Epoch 289/5000, Train Loss: 9985174528.0, Val Loss: 10420137984.0
Epoch 290/5000, Train Loss: 9978378240.0, Val Loss: 10433204224.0
Epoch 291/5000, Train Loss: 9973070848.0, Val Loss: 10441218048.0
Epoch 292/5000, Train Loss: 9964688384.0, Val Loss: 10455062528.0
Epoch 293/5000, Train Loss: 9961191424.0, Val Loss: 10408080384.0
Epoch 294/5000, Train Loss: 9954023424.0, Val Loss: 10396226560.0
Epoch 295/5000, Train Loss: 9951449088.0, Val Loss: 10363580416.0
Epoch 296/5000, Train Loss: 9945725952.0, Val Loss: 10384643072.0
Epoch 297/5000, Train Loss: 9939729408.0, Val Loss: 10400146432.0
Epoch 298/5000, Train Loss: 9936019456.0, Val Loss: 10388492288.0
Epoch 299/5000, Train Loss: 9929604096.0, Val Loss: 10423019520.0
Epoch 300/5000, Train Loss: 9927247872.0, Val Loss: 10381802496.0
Epoch 301/5000, Train Loss: 9921905664.0, Val Loss: 10424491008.0
Epoch 302/5000, Train Loss: 9920059392.0, Val Loss: 10359711744.0
Epoch 303/5000, Train Loss: 9916097536.0, Val Loss: 10407200768.0
Epoch 304/5000, Train Loss: 9910033408.0, Val Loss: 10363036672.0
Epoch 305/5000, Train Loss: 9902794752.0, Val Loss: 10382214144.0
Epoch 306/5000, Train Loss: 9895925760.0, Val Loss: 10405489664.0
Epoch 307/5000, Train Loss: 9893694464.0, Val Loss: 10358146048.0
Epoch 308/5000, Train Loss: 9892496384.0, Val Loss: 10402277376.0
Epoch 309/5000, Train Loss: 9888292864.0, Val Loss: 10357379072.0
Epoch 310/5000, Train Loss: 9883457536.0, Val Loss: 10401799168.0
Epoch 311/5000, Train Loss: 9877387264.0, Val Loss: 10394408960.0
Epoch 312/5000, Train Loss: 9871066112.0, Val Loss: 10399494144.0
Epoch 313/5000, Train Loss: 9870185472.0, Val Loss: 10395792384.0
Epoch 314/5000, Train Loss: 9862206464.0, Val Loss: 10383686656.0
Epoch 315/5000, Train Loss: 9857043456.0, Val Loss: 10395439104.0
Epoch 316/5000, Train Loss: 9852026880.0, Val Loss: 10409905152.0
